,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
55,"Everyone! Eggsies likes fucking zebra cakes, what a kinkster!",I was singing I'm singing in the rain' by Gene Kelly in the shower quite frequently after having watched Clockwork Orange.,http://media.giphy.com/media/HU7a0iLaQCPQc/giphy.gif,I'm really a 54 year old man.,"Where its good news or bad, i am an ESFJ. At that time i took the questionnaire i didn't want to believe it, but after many cognitive function tests and my INTJ sister observations i am an ESFJ lol.",ExTP.  TMLT hate people being nice to them if they've felt they had done wrong.,I think all that abuse from lucious messed him up a little bit. I think he is infp 9w1 4w3 6w7.  I think that is the real Hakeem. Hakeem istp Luscious esfp,Mine are it is what it is. What you see is what you get. Life sucks then you die play hard.,*Speaking from a bomb shelter*  So which Christian values do you still hold? I agree that people can still be good in the absence of religion and people also do bad in the name of religion but the...,"[From a book I read yesterday. A reminder to not turn into ***Js.]    The real meaning of P is: wings. Winged folks, don't give in to flyphobia, albeit, sure, many forces all around us try to...","I did not say it disproved God. I merely said that I found such methods disturbing. Although, it does bring up certain questions. God is in control of the universe, and the governments of the world,...","going back to the office in a few hours. back to being dumbstruck and confused by your presence, back to being on the edge 90% of the time, back to feeling duplicitous, and hopelessly despicable,...",How I recognize Fe in myself... I care soooooo much about how things that happen affect other people's feelings. I want to make sure everyone is feeling okay all the time. My most-used phrase when...,60019 Enzo-doglet posing for the camera made me smile today...,I don't even know what strappies are.,Married to an ENFJ.
56,INTPs are fun to talk to intellectually! :),"Finish the game?  I basically become the game. I've had plenty of games where I've sat there literally day & night till I've completed it, at which point, I discard the game and never play it...","Anything that fucks with my mind is a no.  I mean, I can drink some red wine just for the taste but that's it.  Not sure if this thread is only replied to by (former) drug addicts or if the...","I was thinking this.  Anyway, my brother and a close friend of mine are ENFPs. Both are the shit. And I could definitely see myself with an ENFP girl.",Mango,INFP.   https://www.youtube.com/watch?v=373FKJtyBWc,Hakeem now gives me an isxp vibe strong se,I can transform your whole life upside down. Have you ever been in the presence of a GOD? I'm the type you want to show off to all your friends and family. I will give you the attention you need....,I never really thought about my childhood experiences until I was much older when my brothers and I talked about the past and we all agreed that we had suffered physical and verbal abuse. It wasn't...,:carrot:  :brocoli:,"Surprisingly, I could not find a thread about this on perc even with Google. So, here you go.  Watch Jesus Camp online - Watch Movies Online, Full Movies, Download  I was disturbed watching this...",i followed Scott Disick on instagram and so far i'm not regretting it lol. douchebags amuse me to no end.  Sent from my Apollo using Tapatalk,"After a break-up I need SPACE! No contact with my ex -- just polite distance and time. I need to turn my attention back to my own life and regain energy, sense of hope, and purpose.   I've been...","Oh speeding is a magnificent experience that cant be beat...:laughing: !! But I am careful not to do it on very busy roads:frustrating:. Still the whole experience of driving is amazing, specially...",The idea is to spend less on shoes to have more of them.,I haven't shot anyone with a sniper rifle. Ever.
57,Don't you mean Yum Circles?! Lol.,"We find a hideous looking fish on the beach, whose jaws are clenched tight for some reason, and decide to aid it. I’m with two people, who help me open the fish’s mouth while I brush it with salt,...","It's not that much the difference between online and offline, but the difference between talking about serious and non-serious things.  I'm the same person IRL and online, but others' perception of...",Not really my kinda thing.,"Hello lads, eSFJ male here","Nada.  TMLT be too warm to be a thinker, too cold to be a feeler.",I can see why father is often typed as xntj,I command you to give me all your money.,"My ISFJ friend almost always instantly shuts down and becomes upset whenever someone disagrees with her POV or the way she does things. She can't seem to understand why a certain behaviour, though...","That more or less finds myself in agreement, honey cookie.","A metaphysical gun (Hell) held to someone's head can be just as effective as an actual gun.  Do you not find these methods disturbing? Watch Jesus Camp online - Watch Movies Online, Full Movies,...","you are SO quiet! you have beautiful hair. you're too damn logical, i like it. you make me feel like a lesbian at times","I've experienced most of these struggles, but right now in my life being assertive, being overwhelmed with conflict, and stressing over the uncertainty of the future are what I'm dealing with. I want...",You have no idea what you are getting into girl ...:laughing:!! This book will truly blow your mind away :shocked::proud:,1.) Physical sciences 2.) Foreign languages 3.) Art  ISTJ,"Benja — Seeing as you have saved 80% of your wages, and are looking for assets: Have you seen http://www.earlyretirementextreme.com?"
58,"Chicken pot pie, oh mer gerdd..... YESSSS","By accepting that he just wants to be happy, I guess. Yeah no doubt it would be hard to get close eh. :rolleyes:","That sounds somewhat like me, apart from the gossip thing. And the interesting part is that the love for gossip changes a lot. If it wasn't there, I'd say that he's just a premature ENTJ. But this...","I fap with my left hand, if that counts as being ambidextrous.","Jabberbroccoli    @Dark Romantic   @MegaTuxRacer   I am actually an ESFJ, you guys were correct all along.",Take it easy.,I thought ufeffthe exact same thing about father xntp of some sort.,Maybe you are right.,"These two questions seem unrelated.   If people know my real thoughts, they may or may not like me better, it depends on whether they like my thoughts to begin with. I have bad thoughts but some...","The answer's nature hinges upon two points:  1) How does he rate, on a 0-10 shyness scale? The more shy he is, the more proactive it is reasonable that your attitude be.  2) What is your main...","Unstable is not the right word. We are usually pretty emotionally flat-lined. But, when we do have to deal with our own emotions we can be very bad at it. In high school my feelings of attraction...","i miss the beach so badly, that vacation was definitely not enough. i don't want to work yet i need a longer breather i wanna go baaaaaaaaccckkkk",https://www.youtube.com/watch?v=eT70RUV_9rw&list=PLZovIqon2N4KLOh4sSI27PHBJb0p1_1t3  Angel Olsen's album Burn Your Fire for No Witness  :blushed:,"I found the link to the downloading of the book: Louis Berman, MD: The Glands Regulating Personality , fascinating research this man did, I cant put it down, thanks!! (I will look for the second one...","I did well in school in general. I was in the advanced classes, no matter the subject.  My writing tends to be stiff, and I have trouble coming up with ideas to write about.  I did well enough in...","Was brought up in a household of feelers, and needed a better understanding of irrational behaviours. I found MBTI and pretty much everything fell into place."
59,I'm pretty sarcastic but I usually just use extremely bad puns to get laughs lol.,"Haha yeah, but I also feel like an ass for putting that negative spin on and doubting their sincerity, and reacting to it. That's clearly insecure behaviour, no matter if we are right or wrong. Fe-Ni...","Nah, I always got away with the things I did. From making smelly smoke bombs in high school to political things like ironically sieg heil-ing a dictator's monument back in my country. You won't...","Lasagna, steak, almost anything Mexican, chicken wings, and of course pizza. Don't really have a favorite restaurant.",http://www.youtube.com/watch?v=sQuE3VWiTvc,sp/sx,"What you say makes sense because I thought he was an enfj 3w2 8w7 7w8 sp so because I do not see him as esxp 8, he would have been gradually starting to ask himself questions throughout ufeffthe season...",Yall are so quick to attack me when the other piece of shit started this fight first. If he would kept his little mouth shut none of this would be going on.  Rewind this and see what he said FIRST.,BS？I don't BS.,*deleted*,"Well, I went to someone's wedding and dipped everything in the chocolate fountain and ate it. I dipped the fruit, the fish, and even the Hershey's kisses. And I drank two little jars of honey they...",i've waited so agonizingly long for this moment and now that the chance is here my indecision and procrastination has decided to present their Amazing Super Powers in the worst way possible.   i...,I read through this and went to go thank it only to learn that I had already thanked it. :rolleyes: Hehe! I've been decluttering and reorganizing my closet space and storage boxes over the past few...,:laughing::laughing::laughing:...! Just try not getting distracted (today) by any glittering objects and you shall do just fine in your test:tongue:,What is the term for when something is written vaguely enough that almost any reader can make it applicable to his or her own life?   I can pick things out of Aquarius that applies to me. I can do...,"Benja — I don't have many complaints, for sure. But I have never been able to shake the Mal de Mer."
60,"High expectations come at a high price, we just expect too much, we'll have to learn how to expect less from our (potential) significant others.",ENFJs are sneaky little bastards.,INTJ - ISTP ENTJ - ISTJ INFP - INTP ENFP - ESFP INFJ - ISFP ENTP - ESTP ISFJ - ESFJ  ESTJ - ESTP ENFJ - unmistakeable and really annoying,Drake - Show Me A Good Time,"Thank you for having my back, it is much appreciated.  *High five*",Okay,Why do you believe that tai is enfj as opposed to esxp Why do you say matt is isfp Why did you type Ken as intp as opposed to inxj,You are wrong. Antisocial Personality has Superficial Charm. We know how to say just the right things like sorry and appoligizing. Do we mean hell no. But we know what to say and when to say it...,"I think INFJs sometimes need to be kicked out of our comfort zones, for the sake of our emotional wellbeing.    -- I can relate to this and it actually helps when friends pull me out of my rut. I...","Ne generates suggestions and possibilities. To make the workable ones into ideas, T must come into play. Ni generates solutions, it prepares the ground for solutions, which T then informs.   They...","That post you  quoted was from two and a half years ago. Since then, I've come to a better explanation.  INTPs may not be as externally certain as INTJs, but they are more certain internally. They...",do i text her or not do i text her or not do i text her or not do i text her or not do i text her or not   do or do not. there is no think,"This is a rant from an ISFJ who's trying to find the right sort of person to date and settle down with. Erm how do I put this.... My last three romantic relationships have been with NF types, and I...",":laughing: Why do you find this thread scary...?? You are a T, a letter away from us ISFP's, are you a lot more focused when driving?",The original purpose of the thread was how to distinguish between an ISTJ and an ESTJ. The necro comment (in addition to necro-ing the thread) does not add to the discussion. It's possible that it...,"Yacht skipper and trainee wooden boat builder/restorer. I prefer sailing boats to fixing them, but I get some sort of family life if I'm not at sea all the time. Finally, I am learning balance"
61,"I really want a shred beef taco, or multiple of those right now. Also, funny names for things: Carrots: Dirt Rockets Pizza: Yum Circles And the one I actually made up, Hot Sauce: Danger Liquid...",http://www.youtube.com/watch?v=4XmKMdgw68g   Maybe this will give you some ideas.,It's free to play :tongue:,Brand New - You Stole,Whoah! I thought he was just teasing. Lets take some time off our busy schedule and relax to some transatlantic tunes.   I stongly beleive /i am either ENTP or ENFP but if I was ESFJ it would be...,ENTJ  TMLT hate being corrected on their grammar.,Why do you believe that tai is enfj as opposed to esxp Why do you say matt is isfp Why did you type Ken as intp as opposed to inxj,I said: When something is too easy like that I lose interest quickly........... there was no response so I said: If you want to find friends go to Facebook.,"Haha... sorry if I offended anyone. I don't mean for this to be a dirty jokes thread. I've amended the original.  That was a funny one you shared, btw. I recalled a similar situation which...",Sweetheart,"This is how I deal with the INFP I'm in a relationship with.  I am often tempted to avoid hurting them even if it means fudging the truth, telling them only what they want to hear. If I do that, it...",Natalie Dormer literally looks like a cat sometimes.,"I've been known to make others wheeze with laughter and to make beverages (or in the case of my brother one time, soup!) come out of their noses. ;D","I will let you know once I have gotten into it, it's great your interest has been aroused:laughing:  dfoster seems to know quite a lot about it,  I was pleasantly surprised at that! ...(wish there...","No, I just keep these things in a bag and pull them out whenever I wish.",I was just thinking Jeremy Kyle I actually want to reach into the TV and rip that guys throat out
62,"They remind me of Michael Buble with a hint of Snoop Dogg, ya feel?","Lithium Energizer batteries AA+ right up the butt.  Seriously bound to startle you into hyperactivity.   ...If you're into that sorta thing. :rolleyes:   I'd recommend keeping 'em up there,...","YXZ  HAVE A MEME, M80  https://scontent.fhou1-2.fna.fbcdn.net/v/t1.0-9/17021773_931845763621268_1389281151178905536_n.png?oh=7cea6be5f3fdae21111dba4be8854480&oe=5929FC2D",I usually do it if someone says something funny or something I agree with.,"ENFP, we would make it fun to work out",Isfj,He is not an xntj at all. I do not see him at ni dom if he seem to be an enfp.,I said: But I don't want to go out with Women I don't know. They both just gave me their number so quick. I talked to them and set up dates. It was too easy and I don't know them like I know you. Me...,"LOL, can I pay that in instalments?","Something I want to share (sad part in red, bolded; happy part in green):","Never heard of it till now. I watch a loooot of anime, but I get it from animedreaming.tv mostly; I am not a member of any anime board.","i find scars fascinating to be honest. our bodies' own version of short stories. i have a nice collection myself, mostly from bike accidents when i was a kid.","Yes. This. I keep reading that S outnumbers N out there in the world, and I'm like... anecdotally in my life, NO! I am surrounded by N's. I really do appreciate what they bring in the way of...","That's right, there is a lot more than meets the eye with this typology system and its worth exploring in more depth. When I found Susan Zannos book I simply couldn't put it down. The very exciting...","I wasn't really bothered so much by the little joke, but I came in later and skimmed through it more quickly.","Boats, kayaks, pool cues, cameras, bikes, the shipwright's tools and computers feature heavily, but properly manipulating the bodies endocrinological response to nutrition for the purposes of..."
63,"I have noooo idea how you feel right now, but thank you, everyone all aboard the feels train.",Described by teachers through the years repeatedly as:  Lazy. Full of potential. (Oh boy do I hear this one a-lot) An uncut diamond. (Seriously) :blushed: A druggy. Not serious. Overly focused...,:crazy:K N O W . W H E R E . T O . D O W N L O A D:crazy:,"My family and I were at a store and I was arguing with one of the workers. She called the cops on me and they arrested my whole family for some reason (Me, my niece, my 2 brothers, and my...",I hate you,ISTP  TMLT have a daddy kink.,Will infj Cornelia esxp enfj Irma esfj Hay line esfj or enfp T isfj Phobos entj Nerissa intj Blunk entp,Aww well you need to go out and enjoy yourself...If I was capable I'd go have fun with you buttttttt out of commission lol.,"Yes, and this is a double edged sword. I think mental health awareness and education are important, and what's more important is people need to know where to get help. On the flip side, I'm also...","Something I want to share  Here is how you disturb the universe to make meaning. It isnx92t pretty, and therex92s a reason most who are able to do it on a grand scale are above forty.  Winning before...","The legs are nice, but her expression is all wrong. That is not her private sad face; I don't know what it is. See, I have her evil grin <B",that would make quite an awesome scar though. i hope it doesnt hurt too much.,"I just wanted to say that I really appreciate this thread. This is stuff I spend a lot of time thinking about and trying to figure out for myself, so it's helpful to read perspectives from other ISFJ...",http://personalitycafe.com/images/styles/PersonalityCafe/misc/quote_icon.png Originally Posted by dfoster http://personalitycafe.com/images/styles/PersonalityCafe/buttons/viewpost-right.png  ...,"I was going to say ice water, but yours is better.","Very similarly. I go to the gym 3 times a week, sail in the summer, ski in the winter, and hike all year round. It is pretty much the only thing that breaks the Ti-Ni cycle. As a kid I didn't know..."
64,"I used to want to bring peace to the world but that all changed when the fire nation attacked. Lol, on the real doe, I used to think the same way, but if you can notice these things about previous...","I don't think she feels the same way you do, and that can make her feel insincere, and thus fake - which can make her lose her sense of self, make her feel empty. Not good.  Either that or she's...",:crazy:P I R A C Y:crazy:,- People who act gangster and wear huge clothes or whatever. - Annoying couples who write extremely corny stuff on each others' Facebook walls all day. - People who say they don't like drama or...,Whats going on in this thread?,1/10   https://www.youtube.com/watch?v=MwhJ77_Sy4g,Intp,I said: I haven't been on 1 date since November 2011. I have been in a long distance relationship with my baby's mom. We just broke it off not too long ago. I stayed faithful the whole time.,"Haha, hopefully? :proud:","They require handiness, but also intelligence. Video games are split as follows: some require intelligence, others intelligence coupled with handiness.  (In turn, those requiring intelligence can...",Kokiri Connect. Becuase I couldn't rememeber how to spell Kokoro Connect so I let Google do it.,"galumphing on the net, drowning myself in music, relationship issues, overthinking in general + i feel fine/nothing","Haaaaalp!   Assuming they have not been severely censored in their upbringing, INFJs are generally happy to share their feelings and perspectives. In fact, given the right opportunity, INFJs will...","I read Susan Zannos book  Human Types: Essence and the Enneagram  several years ago, definitely worth reading. Thanks for sharing, too bad very few people seem to know about this Enneagram...",More fun and effective than a treadmill! (There is a correlation between fun and effectiveness.),Fair enough. You do seem quite extraverted on the WebblyNets; not that that means jot in real life.
65,Cause it's dope lol. Not so much a good lyrical song but it bumps like a motherfuggah!,"Sometimes I feel like I can read people or situations pretty well with my intuition. Although there are times where I realized that although I thought I could read a significant person, it turned out...","Did you see Boku dake ga inai machi? Or 91 days?  My life is pretty boring too. I'm trying video games at the moment, but they don't really help.",Hungry. I haven't had anything to eat yet today.,"Oh good, the battle of whether I am ENTP or ENFP begins again for myself.  The green describe me well, and the orange is 50/50.  I think I use Fe by:   Understanding why someone acts a certain...",ESTP  TMLT have a mommy kink.,Why do you believe inuyasha is istp,Noo 'm not a jealous girl... U need to keep your options opened if you're wanting a girlfriend. (She slips up right here) If I was still in high school then I wouldn't like that but I've learned as I...,"I'm not calling out recent posts specifically, just the general overall. Some posts may have been made several years ago but their remarks still stand.",equipoise,Inaba from Kokoro Connect. Because I relate to her and I enjoy looking at her (I have to look at my avatar alot).,"http://www.youtube.com/watch?v=Y4cxaVEqZsE  apart from the hardcore yeehaw country songs, i absolutely love True Detective's soundtracks.","I'm sensitive to hearing criticism, even if it's not directed at me. Hearing people level a lot of criticism just wears me out!",58755,"6 Expressing Regret  4 Accept Responsibility  3 Make Restitution  7 Genuinely Repent  0 Request Forgiveness   I noticed for my answers, that I tended to put weight on the type of apology based...",You sure you're not ESTP DJA!
66,http://www.youtube.com/watch?v=rEMsjeq43_U  Thought this would be fitting.,Well there goes one friend down the drain.,"I know russian well enough to write books in it. :proud: I even tried once, but then got carried away by more obvious everyday problems.  Japanese is quite interesting, especially because of the...",Radiohead - The National Anthem,"Can you provide me with some research, i want to know more",I like how consistent you are. :proud:,Goku estp Vegetable istp,;,I'm creating this as a stress-reliever as I think all of us can use a good laugh once in awhile... :tongue:    Perhaps I'll start off with this funny conversation between two friends who were...,"But if your goals were to one day be not a stranger in your soul's territory, and to achieve as much truth as possible, then let me tell you that your condition is the most propitious.  Like a...",I'd like to see someone react when they are told they have   hippopotomonstrosesquipedaliophobia.,i feel like i want to just eff it all up and break up with my SO just because i'm too distracted with this other person right now. i cannot stomach my own burgeoning dishonesty.,"Type 6: When they are being ‘testy’, support them with genuine reassurance to ease their anxiety rather than trying to win the argument.  This is so accurate! Just last week I discovered that I...",Psychology- reading- writing- sculpting- photography- drawing-  eastern philosophy- jewelry design- films- hiking- nutrition-  cooking-  sewing- gardening- yoga- meditation- musing...,"I like the semi-cheap razors (Soleil). And at least below the knees every day because even if I'm not wearing shorts (Muay Thai), my partner might need to grab hold of my ankle for a joint lock or...",What's it now then?
67,Anorexic or obese.,"Then I've given you legit advice, girl. If you continue to accept how it is now (with what you've been happy with and with what has been making your heart race) without trying to push it forward...",Have you tried playing Unturned? It's a pretty cool voxel survival game made by a 16 y/o canadian guy :),I was looking up info about certain types with a friend.,UPDATE:  This is my secomd week of college and I know I can get all As if I dont do assignments at the last minute. This is what I am doing to combat procastination.   1. Planning I downloaded a...,ISFP   https://www.youtube.com/watch?v=30dtUSCfrdk,Penelope infj or infp Neyla istp,I said:  See that is what I am confused about. I didn't know if it was wrong for me to date while I am friends with you. I don't want to break our friendship over this.( I told her I am going on two...,I have a thinking... that many INFJs think they suffer from trauma but a lot times it's actually just us torturing ourselves in our minds because we're so good at that.     I talk it out with...,"Socially, yes (and family belongs in society!). But the best would be to be as honest and open as the intelligence, maturity, and degree of moral development of the other person allows.   ...","She doesn't trust you or respect you. A break would be good to test if she will change. If she doesn't, you have to think about what will make you happy in the long term. Next time, establish ground...","lol. my SO always seems unnerved by that look. he's commented before that i look like i'm planning a murder in my head or envisioning the edges of the matrix, when i was really only calculating the...","ISFJs are cuuuuuute!  522121 Favorite musician = Kaki King  522129 Mini golf on the side of a mountain  522137 Me and my cat, Indigo. We hang out!","I saw your video it is both witty and funny:laughing:, thanks for sharing:kitteh:!","It's like hot glue.   It's hot to mold itself around the hairs and little crevices. As it cools, it hardens, so that it clutches the little hairs. If it's too cold, it will never really get a good...",To get thin you have to eat fat
68,"I'm also an 3w4 but I'm only concerned about being vulnerable, I hate being in a position where I'd have to appeal to someone. I guess it's more the fact that I don't think I'll ever be understood...","Oh yeah, same problem. Alcohol is the solution.   I had this issue just a week ago. A friend of mine had people over at his for a whole bloody week. It was a strange group, but I'm friends with...","I've always known exactly what I want in my life, in several circumstanses, with several outcomes. I have around 26 life plans and every single one of them is updating constantly :wink:",Batman (INTJ) & Iron Man (ENTP),I play the whatever happens happens game . I used to analyze the trousers out of the dating game.,Why this thread is so popular.,Why do you say ryoko is estj I think ragyo is enfj or entp,"I'm broken, there's no way for me to rush into anything. I've dated one guy since my sons father because I don't want my son confused as he is always with me. I'm not that kind of girl of mother, he...",So many stereotypical statements here. The way you guys describe the girly girls are like a princess. Pls label them as princess instead.,"I am sorry that you think that. It is obviously an Fe and Te thing.  Introverted judging functions are inner-directed feelings and thoughts, only by chance and to some extent they'll happen to...","I don't think any INTJ is not going to do this if they have a choice. Though, until I got the internet in my late teens I didn't explore many subjects I was interested in in depth. Of course, it...","most social media words like trending, viral and selfie  whenever i hear those words i suddenly transform into this barmy-old luddite codger and bemoan how excruciatingly vacuous and fleeting...","Sure, I'll bite!  1. What's your age/age range? 28 years young  2. Where are you located? (City, State, Country, Region) Tennessee, USA  3. What's your current occupation/job/career? Admin....","I think 'J' types can certainly help us Perceivers put 'our feet on the ground', I believe most of my relationships have been with J types, I admire them greatly, -but I still wouldn't want to be one...","It can burn sensitive skin. There is a 'recommended' temperature, but it's too high for some people, depending on the skin.  My mom ran her own salon for several years which included eyebrow...",Now there's a man I could shoot pool with.
69,Making people laugh is always a great time! :),"Aye. I agree with that to an extent. I believe a good majority of 'em will end up being too absorbed in their own issues, or just thinking your issues are retarded? Still, I'd like to believe that...","My first language is russian :laughing: I'm bilingual. Also tried learning german, but I forgot everything because of the lack of practice. Internet helps me remember both english and russian though...",Not an INTP but:  Your Existing Situation                 Needs excitement and constant stimulation.  Willingly participates in activities that are thrilling and offer adventure.  Your Stress...,http://www.youtube.com/watch?v=SchRMi0S_u8&amp;feature=related,Ni,I.tj 5w4 sx sp,Just because I talk n open up to someone doesn't mean im gonna date them. I'm a very open book to an extent with all of my guy friends cus I know they don't look at me anymore than a friend n def...,Mental health is such a in-thing nowadays a lot of people are slapping labels on themselves to look cool. I'm not saying all of you are doing that... I'm just saying don't do that.,"Utilitarian, deceptive and self-deceptive, falsely altruistic, societally programmed feeling, and utilitarian, earthbound, robot-like societally endorsed thinking.  Fe and Te, of which I'd rather...","No, I don't smoke. I have an addictive personality, and I don't think I would be able to stop if I started.","i cannot remember the last time i was this attracted to anyone and it absolutely terrifies me; how i lose concentration, how everything is heightened by the sense of your presence, how every possible...",The album Dopamine by BøRNS,-(Darn how can I delete a message which I might have posted twice by accidenthttp://personalitycafe.com/images/smilies/1/frustrating.gif is that a privilege reserved for the VIP members?),"That whatever problem exists in front of you, whatever you want to achieve, you can figure out the answer, and you can achieve the solution if you look for it and act.","I got into it not so long ago (a couple of years maybe) while working out a career change. Then it lead me to understand why my family were all f***ing nuts (I was brought up in a household of Fs),..."
70,You guys are way too creative for me. I would wake up as a walking dead. Lel.,"If he's not interested, then you owe it to yourself to know that he doesn't deserve you.  Don't think of this in a superior way. It's really just being true to yourself.  You deserve love, if he...",This was probably a joke I didn't get. Because otherwise I have no idea how exactly would backups of her files help her remove the toolbars.  Or you meant that she'd have to do a restore from a...,"I do care about my image. I don't want people to think less of me than I think of myself. I don't care if people like me or not really, I just want everyone to know I'm the shit.",Do you exercise?,ISTJ.   https://www.youtube.com/watch?v=1VzIvIacMSU,One big weakness of entjs and exxj is that they do not spend lot of time questioning themselves they just decide what is just and what is fair and just act. Another problem with entjs is that a lot;...,"This is what she said word for word after I told her I'm going on dates with other Women:  I only want friends, idk how to be more clear about it...Someone who I can call n joke around with without...","Researchers are always coming up with new studies and BBC is hardly a reliable source. Even if you identify with a few symptoms on the checklist, it doesn't necessarily make you a psychopath. It's...","In INTPese, that means: I am in heart-rending love with you, my baby.  :adoration: :hearteyes:","Destroying his reputation by revealing what he has done could cause him to lose a lot of power... but if people knew things he had done, a certain person would kill him and end up in jail.   There...",http://www.youtube.com/watch?v=j9rIHPvm5c0,Are you.... OVERWHELMED by all the possible things I could be referring to? :laughing:  I mean like I'm doing nothing at work and then all of a sudden four different requests come in at the same...,"Even when I prefer Introverts, I can relate both to Introverts and Extroverts.  I enjoy SP types, they are very easy for me to get along with.  Between Perceivers over Judgers I find P's more...",I will look for a recipe.,"I put Dali because I really like most of his work, but I love Picasso's cubism and his early sketches (especially the buxom wenches he used to sketch on his schoolboy math books). He was a master..."
71,Going to have to say yes.,"What do you guys think of going to a therapist in times of distress/depression?   Would you deal with it yourself?  Would you find it easier to open up to a therapist rather than a close friend,...","The worst case I've had to deal with was a girl who got so many toolbars installed into her browser that it was constantly crashing. I mean, you could expect this from an older person, but from a 16...",Pretty much this                                                                    .,"RED is acting arrogant ,  acting like an expert on the subject, but avoiding the question because its beneath them and reflecting it with the hahahas. RED is also debating instead of collaborating. ...",INFJ   https://www.youtube.com/watch?v=-ZKIdJJY9lM,Rarity entj,Why the hell is she on a dating website then. We have been talking since Feb. Now we just exchanged phone numbers like a week ago.,"I think this sucks and you have my sympathy. Personally, I hate it when a guy dumps me for another gal and then tells me he wishes me happiness when he's the exact source of my unhappiness. Don't buy...","I always test 50% T and 50% F and am an INTP-ish INFP.  Maybe that's why my first motion of the mind was: Why is none of them providing reasons for their statements?  In the INTP forum, they'd...",People like people like themselves; this is the number 1 indicator of attraction. Seeing as most people are sensors it is not surprising that they do not care for my personality.  Woman have...,"or sometimes, just dispense with the apologetic message altogether. i find that goodbye to be more effective, though i have no idea how many lives i've managed to ruin in that process :mellow:   ...",Is anyone else feeling easily overwhelmed?,Very pretty indeed :kitteh:  ...Are you an ISFP? You remind me a lot of an INFP friend that I have...,"No, but I once knew someone who had cousin who visited the country.   Haha, just kidding!  I'm not, but I do have an abnormally  high number of Canadian friends, one of whom I tease about bagged...","Wow x97 we're two totally different ISTPs: apparently I'm an irresponsible jerk who won't take life seriously at all. I pretty much focus all my life's energies on being able to ski, sail, hike, camp,..."
72,"Good ol George Carlin said environmentalist don't give a shit about the Earth, it's our selfishness to want to continue surviving as a species, the Earth will take its course and wipe us out,...",to get jiggy?,"Have you tried telling him that it is extremely stupid to get depressed over a situation he has no control of? I mean, like, literally telling him that, not just saying something other than this and...","No one really even goes on Myspace anymore and I have no use for Twitter, so I just have a Facebook.",http://theswash.com/wp-content/uploads/2012/04/scientists-twitter.jpg,Ti for sure,She is an  estp 3w2 sp so,Even though she said that we continue to text each other back and forth. I am playing counselor with her. I am showing her everything about herself as far as her personality and enneagram. I got her...,"EveJ, I agree with the INTJ who says other people's expectations are other people's problems. I'm quite sick of meeting people's expectations simply because they feel entitled. The truth is, when the...","At this, Job got up and tore his robe and shaved his head. Then he fell to the ground in worship and said:x93Naked I came from my motherx92s womb, and naked I will depart. The Lord gave and the Lord...",My best friend is an INTJ. We have so much in common even for two INTJs; she understands me better than anyone. It took a loooong time for us to become close. We put up a lot of barriers.  I get...,http://www.youtube.com/watch?v=pM_Q-G_CZ74,Kate Bush's The Dreaming   https://youtu.be/JWy8nONlh_Q,-,I think knees could be a formidable opponent to the jawline >:,Pretty much the same here.
73,"Haha, I don't know man, relationship or not, I've always been happy. Relationships were and are never a priority to me lol.",Haha yeah. The brain is so un-predictable... Always puts on a show at the strangest (usually not appropriate) times. *Sigh*  I relate to you though. Seems a burst of creative thought comes into...,"Mistyped myself as an ENTP. I mean, I do love arguments and memes, but... No.","dark midnight blue is what my favorite color is called apparently, but I like almost any shade of blue. Midnight blue - Wikipedia, the free encyclopedia","Urine is sterile, why would you have issues sticking your hand in it to retrieve something?",ESFP.  TMLT want to control everything but are horribly disorganized at it.,Nicki Minaj is esfj 3w2 sx sp,"I already did that. She Said, I don't let anybody in. I don't let anyone to know anything bout my emotions... My depression and anxiety makes if hard to talk to people. It's been like this for...",Ashton Vern This may help you further - https://thoughtcatalog.com/heidi-priebe/2015/07/how-to-recognize-each-myers-briggs-personality-type-in-real-life/,To fetch,"I can tell you about a sociopath I know in real life. Not an INTJ, an ENTP or INTP.  -Tells all his problems to people shortly after meeting them to attempt to gain their sympathy so they can be...",i can be so damn full of sh!t sometimes.,"I love that you've been posting more recently, teddy564339!  About the whole 6th sense about other people and not being able to translate that sense into valid arguments -- YES. Omg yes. I...","It is the E.M.P. The Experience Music Project, in Seattle I love that building:kitteh:!!",|I only recently heard of them. I've never seen them in the states.     Only in some places. They have pitchers to put the bags in.,chemistry undergrad music technology postgrad  doing neither now
